video_id,duration,category,label,notes
vid_00001,5.0,DIY,unsafe,Trip and fall
vid_00002,26.5,food,safe,Pixelated heroics
vid_00003,27.1,news,safe,"Weather forecast, yawn"
vid_00004,20.8,travel,unsafe,Dance fail compilation
vid_00005,29.0,travel,safe,"Groovy beats, no drama"
vid_00006,15.4,food,safe,Silly hat montage
vid_00007,29.6,dance,safe,Laughter guaranteed!
vid_00008,10.8,animals,unsafe,Trip and fall
vid_00009,21.7,dance,unsafe,Helmet didn't help
vid_00010,8.1,comedy,safe,Silly hat montage
vid_00011,20.6,comedy,safe,Epic win moment
vid_00012,28.4,sports,safe,Laughter guaranteed!
vid_00013,33.0,dance,unsafe,Ski crash rewind
vid_00014,9.8,DIY,safe,Pixelated heroics
vid_00015,25.6,gaming,unsafe,Trip and fall
vid_00016,20.3,dance,safe,"Groovy beats, no drama"
vid_00017,12.1,food,unsafe,Cliff dive gone splash
vid_00018,23.5,DIY,unsafe,Ski crash rewind
vid_00019,6.0,DIY,unsafe,Dance fail compilation
vid_00020,32.4,DIY,unsafe,Kitchen fire incident
vid_00021,19.5,food,safe,Pixelated heroics
vid_00022,13.9,dance,unsafe,Dance fail compilation
vid_00023,19.2,dance,safe,Happy puppy vibes
vid_00024,9.9,dance,safe,Taco tutorial FTW
vid_00025,6.3,music,safe,"Groovy beats, no drama"
vid_00026,33.1,animals,safe,Epic win moment
vid_00027,8.7,sports,safe,Silly hat montage
vid_00028,34.2,comedy,unsafe,Ski crash rewind
vid_00029,25.9,dance,unsafe,Trip and fall
vid_00030,29.4,sports,unsafe,Slow-mo punch to the face
vid_00031,22.9,news,safe,"Groovy beats, no drama"
vid_00032,20.1,animals,safe,Relaxing scenery
vid_00033,26.8,sports,safe,Pixelated heroics
vid_00034,14.3,news,safe,Silly hat montage
vid_00035,12.7,DIY,unsafe,Ski crash rewind
vid_00036,22.7,music,unsafe,Hammer meets thumb
vid_00037,28.4,travel,safe,Happy puppy vibes
vid_00038,18.6,comedy,safe,Taco tutorial FTW
vid_00039,24.2,DIY,safe,Relaxing scenery
vid_00040,8.5,music,safe,Relaxing scenery
vid_00041,26.9,comedy,safe,Pixelated heroics
vid_00042,24.2,dance,unsafe,Dance fail compilation
vid_00043,14.3,dance,safe,Epic win moment
vid_00044,34.3,gaming,unsafe,Dance fail compilation
vid_00045,23.5,dance,safe,Relaxing scenery
vid_00046,27.4,gaming,unsafe,Helmet didn't help
vid_00047,32.3,food,safe,Relaxing scenery
vid_00048,8.5,news,safe,Epic win moment
vid_00049,9.7,news,safe,Taco tutorial FTW
vid_00050,5.8,news,unsafe,Slow-mo punch to the face
vid_00051,12.8,DIY,unsafe,Foot twirling gone wrong
vid_00052,29.9,dance,unsafe,Cat vs. blender – yikes!
vid_00053,34.3,food,safe,Epic win moment
vid_00054,27.7,travel,unsafe,Cat vs. blender – yikes!
vid_00055,11.9,news,unsafe,Foot twirling gone wrong
vid_00056,17.5,animals,unsafe,Hammer meets thumb
vid_00057,19.8,comedy,safe,Relaxing scenery
vid_00058,8.0,dance,safe,Laughter guaranteed!
vid_00059,22.8,travel,safe,"Groovy beats, no drama"
vid_00060,8.2,DIY,safe,Taco tutorial FTW
vid_00061,19.1,comedy,unsafe,Hammer meets thumb
vid_00062,34.6,sports,safe,Epic win moment
vid_00063,5.3,sports,unsafe,Helmet didn't help
vid_00064,12.6,dance,unsafe,Helmet didn't help
vid_00065,26.7,dance,unsafe,Helmet didn't help
vid_00066,28.5,gaming,safe,Silly hat montage
vid_00067,18.9,news,unsafe,Cliff dive gone splash
vid_00068,29.4,DIY,unsafe,Cliff dive gone splash
vid_00069,11.5,travel,unsafe,Slow-mo punch to the face
vid_00070,23.6,comedy,unsafe,Helmet didn't help
vid_00071,8.6,DIY,safe,Relaxing scenery
vid_00072,29.9,animals,unsafe,Kitchen fire incident
vid_00073,23.3,news,safe,Relaxing scenery
vid_00074,34.1,travel,unsafe,Slow-mo punch to the face
vid_00075,27.5,dance,safe,Epic win moment
vid_00076,32.5,animals,unsafe,Dance fail compilation
vid_00077,25.1,travel,unsafe,Helmet didn't help
vid_00078,27.9,DIY,safe,"Weather forecast, yawn"
vid_00079,23.2,news,safe,Taco tutorial FTW
vid_00080,23.6,animals,unsafe,Foot twirling gone wrong
vid_00081,31.4,music,safe,"Groovy beats, no drama"
vid_00082,26.8,dance,unsafe,Slow-mo punch to the face
vid_00083,20.7,travel,unsafe,Cliff dive gone splash
vid_00084,7.8,comedy,safe,"Weather forecast, yawn"
vid_00085,18.3,DIY,unsafe,Ski crash rewind
vid_00086,30.5,news,unsafe,Cliff dive gone splash
vid_00087,26.1,music,unsafe,Helmet didn't help
vid_00088,28.3,music,safe,Laughter guaranteed!
vid_00089,20.4,travel,safe,Epic win moment
vid_00090,25.8,gaming,safe,Pixelated heroics
vid_00091,14.9,dance,unsafe,Dance fail compilation
vid_00092,21.8,music,unsafe,Cat vs. blender – yikes!
vid_00093,16.8,travel,safe,Taco tutorial FTW
vid_00094,18.2,animals,unsafe,Helmet didn't help
vid_00095,26.9,music,unsafe,Slow-mo punch to the face
vid_00096,28.6,animals,unsafe,Hammer meets thumb
vid_00097,8.9,animals,safe,Wholesome DIY project
vid_00098,34.0,gaming,safe,Silly hat montage
vid_00099,33.3,sports,safe,Relaxing scenery
vid_00100,15.2,news,unsafe,Cat vs. blender – yikes!
vid_00101,16.6,sports,safe,Taco tutorial FTW
